Well_Name,DEPT,DPHZ,DT,GR_EDTC,HCAL,HDRA,NPHI,PEFZ,RHOZ,RLA3,RLA4,RLA5,RM_HRLT,SPHI,SVEL,TENS,TT1,TT2,TT3,TT4
MIP_4H,122.5,0.4168,59.2228,50.0387,3.9599,0.2233,0.8214,5.6412,2.0006,0.0001,100000,0.0024,0.0014,0.034,16885.377,1542,459.4451,349.4388,452.2266,327.1519
MIP_4H,123,0.4168,59.2228,51.8071,3.9599,0.2233,0.7914,5.6412,2.0006,0.0001,100000,0.0024,0.0014,0.034,16885.377,1533,458.8917,348.4199,452.4099,326.3024
MIP_4H,123.5,0.4168,59.2228,50.3461,3.9656,0.2233,0.7087,5.6412,2.0006,0.0001,100000,0.0024,0.0014,0.034,16885.377,1539,460.1599,348.2379,455.1496,325.7151
MIP_4H,124,0.4168,59.2228,48.3869,3.9543,0.2233,0.6884,5.6412,2.0006,0.0006,100000,0.0026,0.0014,0.034,16885.377,1546,459.4625,348.1043,453.3029,326.9825
MIP_4H,124.5,0.4168,58.3158,48.663,3.9543,0.2233,0.7115,5.6412,2.0006,0.0001,100000,0.0019,0.0014,0.0248,17148.002,1550,458.268,349.0817,451.0558,325.6873
MIP_4H,125,0.4168,59.0299,49.6893,3.9599,0.2233,0.7245,5.6412,2.0006,0.0004,100000,0.0027,0.0014,0.0321,16940.5762,1561,459.1177,348.6327,453.0502,324.5618
MIP_4H,125.5,0.4168,58.5447,51.198,3.9599,0.2233,0.7274,5.6412,2.0006,100000,100000,0.0019,0.0014,0.0272,17080.9766,1530,457.9737,347.6063,447.9514,325.8759
MIP_4H,126,0.4168,58.5314,49.679,3.9543,0.2233,0.7347,5.6412,2.0006,0.0011,100000,0.0025,0.0014,0.027,17084.8574,1558,458.6559,348.0679,449.7127,325.8674
MIP_4H,126.5,0.4168,58.1528,55.6172,3.9543,0.2233,0.7681,5.6412,2.0006,100000,100000,0.0016,0.0014,0.0231,17196.0781,1573,458.2154,348.2835,447.0639,324.4165
MIP_4H,127,0.4168,57.4968,57.4487,3.9599,0.2233,0.8471,5.6412,2.0006,0.0002,100000,0.0021,0.0014,0.0163,17392.2578,1575,458.4586,348.8731,449.7939,326.9534
MIP_4H,127.5,0.4168,56.8835,58.9678,3.9543,0.2233,0.8365,5.6412,2.0006,0.0012,100000,0.003,0.0014,0.0097,17579.8008,1519,457.812,348.4551,447.5583,325.1015
MIP_4H,128,0.4168,52.0731,56.3679,3.9656,0.2233,0.8532,5.6412,2.0006,0.002,100000,0.0037,0.0014,-0.0471,19203.7637,1512,457.6184,348.052,447.6665,326.4854
MIP_4H,128.5,0.4166,58.5608,54.5506,3.9599,0.2248,0.807,5.6488,2.0009,100000,100000,0.0021,0.0014,0.0273,17076.2578,1486,456.3915,347.328,445.2409,326.0916
MIP_4H,129,0.4121,57.672,55.8407,3.9599,0.2295,0.7968,5.6588,2.0082,100000,100000,0.0023,0.0014,0.0181,17339.4355,1511,456.0246,348.113,445.4948,326.1424
MIP_4H,129.5,0.4074,57.856,52.6294,3.9599,0.233,0.7641,5.6624,2.0159,0.0021,100000,0.0041,0.0014,0.0201,17284.2773,1506,457.7391,347.689,450.1507,326.3602
MIP_4H,130,0.4031,57.6578,52.6515,3.9599,0.235,0.708,5.6554,2.023,0.0014,100000,0.0038,0.0014,0.018,17343.7207,1512,456.4596,348.4505,446.5205,325.7284
MIP_4H,130.5,0.401,57.6211,53.4329,3.9543,0.2348,0.7032,5.6535,2.0264,0.0014,100000,0.0039,0.0014,0.0176,17354.7559,1509,457.6155,348.7738,449.4582,351.1035
MIP_4H,131,0.4016,58.2503,54.4105,3.9543,0.2312,0.7317,5.6539,2.0253,100000,100000,0.0025,0.0014,0.0241,17167.2871,1539,456.7035,348.2687,446.5838,324.0811
MIP_4H,131.5,0.4018,58.9679,52.201,3.9543,0.2285,0.7403,5.6593,2.0251,100000,100000,0.0027,0.0014,0.0315,16958.373,1519,457.1089,348.2548,447.1355,326.1148
MIP_4H,132,0.4011,58.6591,50.5438,3.9599,0.2285,0.7662,5.6668,2.0262,0.0007,100000,0.0035,0.0014,0.0283,17047.6484,1515,455.8057,347.3417,445.0707,323.9398
MIP_4H,132.5,0.3987,58.2906,50.1295,3.9599,0.2325,0.7236,5.676,2.03,100000,100000,0.0024,0.0014,0.0246,17155.4277,1549,456.937,347.6708,449.5028,324.3688
MIP_4H,133,0.3978,58.6526,55.486,3.9543,0.236,0.7451,5.694,2.0316,0.0014,100000,0.0038,0.0014,0.0283,17049.5469,1544,457.5121,346.6316,446.6801,324.3929
MIP_4H,133.5,0.3954,51.6135,55.5432,3.9543,0.2387,0.7724,5.7013,2.0355,0.0009,100000,0.0032,0.0014,-0.0531,19374.7773,1562,458.0595,348.0835,444.1516,324.8396
MIP_4H,134,0.3936,52.9723,60.3766,3.9543,0.2386,0.7533,5.708,2.0384,0.0005,100000,0.0036,0.0013,-0.0357,18877.7832,1565,466.3547,347.9476,461.082,323.1033
MIP_4H,134.5,0.3922,60.0071,56.9535,3.9656,0.2375,0.7212,5.7064,2.0407,0.0015,0.0001,0.005,0.0013,0.0417,16664.7031,1526,464.2429,348.6795,454.2959,320.4317
MIP_4H,135,0.3894,59.2043,57.0344,3.9543,0.2363,0.7194,5.708,2.0453,100000,100000,0.0028,0.0013,0.0338,16890.6543,1544,465.1582,357.1986,458.1438,331.0421
MIP_4H,135.5,0.3776,62.9299,53.6044,3.9599,0.239,0.7118,5.712,2.0644,0.0007,100000,0.0044,0.0014,0.0688,15890.6934,1504,466.359,354.9435,460.9794,361.3674
MIP_4H,136,0.3552,64.3798,50.6072,3.9599,0.2473,0.71,5.7081,2.101,0.0014,100000,0.0053,0.0014,0.0814,15532.8154,1536,467.6097,356.5141,460.2453,331.8351
MIP_4H,136.5,0.3448,64.3819,45.2214,3.9543,0.2507,0.6789,5.7191,2.118,0.0004,100000,0.0037,0.0014,0.0814,15532.3223,1534,466.2411,357.7532,459.7534,332.4286
MIP_4H,137,0.357,65.6483,42.437,3.9543,0.2452,0.7278,5.7336,2.0982,0.0019,100000,0.0055,0.0013,0.0919,15232.6865,1536,466.8276,357.4662,460.9015,330.2281
MIP_4H,137.5,0.3817,63.9033,46.2628,3.9543,0.2349,0.8164,5.7568,2.0578,0.0018,0.0004,0.0068,0.0013,0.0773,15648.6338,1507,467.4369,357.4097,461.7182,297.2646
MIP_4H,138,0.3961,62.5177,51.5105,3.9599,0.23,0.7934,5.7593,2.0344,0.0022,0.0006,0.0053,0.0013,0.0652,15995.4736,1523,466.9746,355.7405,460.2651,322.4522
MIP_4H,138.5,0.396,61.9765,54.2724,3.9588,0.2315,0.766,5.7579,2.0344,0.0008,100000,0.0044,0.0013,0.0603,16135.1592,1526,468.9522,350.3313,467.29,321.3568
MIP_4H,139,0.3908,61.427,54.5036,3.9543,0.2344,0.6766,5.75,2.043,0.0004,100000,0.0051,0.0013,0.0552,16279.4941,1515,470.0044,350.2169,458.4264,320.8534
MIP_4H,139.5,0.3867,61.9507,53.3988,3.9543,0.236,0.7232,5.7521,2.0497,0.0012,0.0001,0.006,0.0013,0.06,16141.876,1532,464.4179,352.0526,457.6485,320.1187
MIP_4H,140,0.3832,62.5264,53.3988,3.9599,0.2369,0.7249,5.7497,2.0554,0.0008,100000,0.0058,0.0013,0.0652,15993.2451,1529,463.2365,351.9368,457.0473,319.6338
MIP_4H,140.5,0.3795,63.3062,52.6373,3.9543,0.2397,0.729,5.759,2.0615,0.0007,100000,0.0059,0.0013,0.0721,15796.2529,1586,462.7508,351.4266,457.1322,320.0375
MIP_4H,141,0.3777,63.1334,53.0299,3.9543,0.2398,0.7058,5.7643,2.0644,0.0016,0.0001,0.0056,0.0013,0.0706,15839.4824,1537,462.8441,351.6709,457.0851,319.9838
MIP_4H,141.5,0.3757,62.3643,50.5635,3.9599,0.2406,0.7058,5.7652,2.0676,0.0015,100000,0.0064,0.0013,0.0638,16034.8135,1561,463.1526,350.6776,457.3684,319.6334
MIP_4H,142,0.3749,61.4779,55.651,3.9543,0.2406,0.7196,5.7761,2.0689,0.0003,100000,0.0045,0.0013,0.0557,16266,1545,464.3624,352.1744,459.0153,319.7032
MIP_4H,142.5,0.3731,61.577,58.1488,3.9543,0.241,0.7026,5.7894,2.0719,0.0016,0.0006,0.0087,0.0013,0.0566,16239.8184,1545,465.0421,352.4123,459.2574,319.9924
MIP_4H,143,0.3709,61.5802,60.339,3.9599,0.2417,0.6871,5.8117,2.0754,0.0012,100000,0.0041,0.0013,0.0566,16238.9775,1520,464.1878,352.9774,456.5401,319.9965
MIP_4H,143.5,0.3708,62.2293,56.3342,3.9543,0.2404,0.6852,5.8199,2.0756,0.0021,0.0002,0.0039,0.0013,0.0626,16069.5928,1524,463.1806,354.0997,455.6005,320.0695
MIP_4H,144,0.37,62.9981,54.8248,3.9543,0.2422,0.6872,5.8316,2.0769,0.0016,0.0004,0.007,0.0014,0.0694,15873.4854,1517,462.4814,353.3045,455.5945,320.1972
MIP_4H,144.5,0.3687,62.6235,57.3358,3.9543,0.2433,0.6918,5.8212,2.079,0.0017,0.0006,0.0104,0.0014,0.0661,15968.4414,1533,461.3154,352.6003,454.6562,320.7463
MIP_4H,145,0.3645,62.1183,56.2704,3.9634,0.2462,0.6905,5.7969,2.0859,0.0011,0.0001,0.0095,0.0014,0.0616,16098.3037,1542,462.2415,352.0046,457.1777,320.7267
MIP_4H,145.5,0.362,61.5094,58.4799,3.9599,0.2461,0.7021,5.7591,2.09,0.0026,0.0014,0.012,0.0014,0.056,16257.668,1533,464.2306,351.306,459.3551,320.1279
MIP_4H,146,0.362,61.5052,60.1119,3.9599,0.2452,0.6763,5.7379,2.0899,0.0028,0.0016,0.0137,0.0014,0.0559,16258.7754,1540,464.046,351.7669,457.6241,320.6881
MIP_4H,146.5,0.3634,62.1713,60.0725,3.9543,0.2436,0.6487,5.7278,2.0876,0.001,100000,0.0074,0.0014,0.062,16084.5938,1551,463.9167,352.9032,457.1473,320.2843
MIP_4H,147,0.3634,62.8505,51.7867,3.9543,0.2431,0.5885,5.7162,2.0876,0.0011,100000,0.0082,0.0014,0.0681,15910.7676,1564,462.6249,353.1337,456.2787,319.1676
MIP_4H,147.5,0.3604,62.311,40.1993,3.9543,0.2452,0.579,5.7049,2.0926,0.0021,0.0007,0.0102,0.0014,0.0633,16048.5332,1548,462.8128,353.6491,456.0185,318.3268
MIP_4H,148,0.3567,62.0467,31.5968,3.9599,0.2475,0.5621,5.6859,2.0985,0.0018,0.0007,0.0115,0.0014,0.0609,16116.8887,1527,463.67,353.3374,456.3778,317.705
MIP_4H,148.5,0.3535,61.789,27.0396,3.9599,0.2508,0.5871,5.6839,2.1038,0.0008,100000,0.0058,0.0014,0.0586,16184.0996,1549,463.5409,353.8345,455.3375,317.2361
MIP_4H,149,0.3529,61.5346,23.5744,3.9599,0.2508,0.6148,5.6802,2.1048,0.0012,0.0001,0.0077,0.0014,0.0562,16251.0117,1532,462.3381,354.2269,454.4941,317.4584
MIP_4H,149.5,0.3544,61.5646,21.7113,3.9599,0.2485,0.5938,5.6802,2.1023,100000,100000,0.0061,0.0014,0.0565,16243.0977,1538,461.8022,353.0367,454.0145,317.1145
MIP_4H,150,0.3578,60.6157,22.4018,3.9656,0.2459,0.6062,5.6756,2.0967,0.0025,0.0014,0.01,0.0013,0.0476,16497.375,1512,461.5658,351.6402,453.9259,317.5525
MIP_4H,150.5,0.3597,60.744,23.5066,3.9599,0.247,0.5854,5.6879,2.0937,0.0009,100000,0.0092,0.0013,0.0488,16462.5332,1545,460.8136,351.053,453.6211,317.2814
MIP_4H,151,0.3623,60.2392,22.2338,3.9543,0.2469,0.5856,5.6945,2.0894,0.0019,0.0008,0.0069,0.0014,0.044,16600.4824,1515,459.9062,350.8893,453.0114,317.7319
MIP_4H,151.5,0.3629,60.823,22.0957,3.9543,0.2466,0.5506,5.6999,2.0885,0.0032,0.0017,0.0109,0.0014,0.0496,16441.1406,1563,458.6772,351.0042,451.1057,317.6258
MIP_4H,152,0.3626,60.8034,21.2909,3.9599,0.2446,0.5605,5.6902,2.089,0.0021,0.0006,0.0078,0.0014,0.0494,16446.4395,1523,459.0879,349.9134,452.7493,317.2942
MIP_4H,152.5,0.3593,60.8751,22.6628,3.9599,0.2458,0.5395,5.701,2.0943,0.0019,0.0003,0.0056,0.0015,0.0501,16427.0859,1550,459.3166,348.2294,451.0961,318.3557
MIP_4H,153,0.3559,61.3348,21.1522,3.9543,0.2472,0.5129,5.7173,2.0998,0.0029,0.0013,0.0072,0.0015,0.0544,16303.9561,1514,458.857,347.9963,452.7957,318.3114
MIP_4H,153.5,0.3529,61.8165,20.7058,3.9543,0.2496,0.4773,5.7412,2.1048,0.0003,100000,0.0047,0.0015,0.0588,16176.915,1545,459.0505,348.2331,453.0506,317.2485
MIP_4H,154,0.3519,61.5179,19.3088,3.9599,0.2512,0.4883,5.7585,2.1064,0.0018,100000,0.0057,0.0015,0.0561,16255.4316,1566,460.0316,348.2339,452.6361,317.3986
MIP_4H,154.5,0.3538,61.5432,21.0956,3.9543,0.2508,0.4986,5.7695,2.1033,0.0014,100000,0.005,0.0015,0.0563,16248.7578,1573,461.2787,349.4729,454.2407,317.6788
MIP_4H,155,0.3566,62.1418,25.1474,3.9543,0.2479,0.5151,5.7644,2.0987,0.0018,100000,0.0063,0.0014,0.0618,16092.2334,1554,462.3091,350.4256,455.919,317.326
MIP_4H,155.5,0.3579,61.9021,27.3821,3.9543,0.2452,0.5517,5.7468,2.0967,100000,100000,0.0069,0.0015,0.0596,16154.5371,1531,462.2734,350.9202,455.0952,318.1759
MIP_4H,156,0.3594,62.7126,31.0954,3.9543,0.244,0.5575,5.7418,2.0942,0.0033,0.0018,0.0086,0.0015,0.0669,15945.7607,1543,461.6944,351.6675,453.3637,317.4467
MIP_4H,156.5,0.361,62.8399,32.0379,3.9543,0.2431,0.5609,5.7418,2.0915,0.0017,0.0001,0.0074,0.0014,0.068,15913.4551,1534,460.8399,351.9139,453.1264,316.8062
MIP_4H,157,0.3645,62.3173,36.997,3.9599,0.2411,0.5491,5.7494,2.0859,100000,100000,0.0047,0.0014,0.0634,16046.9102,1557,459.3436,351.6308,452.4973,316.7386
MIP_4H,157.5,0.3647,61.8029,36.6129,3.9543,0.2395,0.5547,5.7422,2.0855,0.0012,0.0001,0.0073,0.0014,0.0587,16180.458,1536,460.7044,351.4709,453.3767,316.8614
MIP_4H,158,0.3646,61.0317,36.7219,3.9599,0.2387,0.5449,5.7346,2.0857,0.001,100000,0.0064,0.0014,0.0515,16384.916,1498,461.8676,350.2054,454.3603,316.9081
MIP_4H,158.5,0.3659,60.385,36.8724,3.9599,0.2374,0.5299,5.7245,2.0837,0.0028,0.0012,0.0066,0.0014,0.0454,16560.3984,1515,462.118,350.8147,453.6492,316.4821
MIP_4H,159,0.3704,60.0744,37.6724,3.9543,0.2353,0.5046,5.723,2.0763,0.0024,0.0011,0.0069,0.0014,0.0424,16646.0273,1533,461.4628,351.2698,453.1104,317.2303
MIP_4H,159.5,0.3755,60.9363,35.8918,3.9543,0.232,0.5162,5.7042,2.068,100000,100000,0.0032,0.0015,0.0506,16410.5762,1514,460.511,351.0157,452.2031,316.9064
MIP_4H,160,0.38,60.8523,33.5441,3.9599,0.2291,0.5374,5.6736,2.0606,0.0002,100000,0.0037,0.0014,0.0498,16433.2188,1534,460.7714,350.3051,452.9238,317.0866
MIP_4H,160.5,0.3821,60.7321,29.9387,3.9543,0.2284,0.5679,5.6431,2.0572,0.0024,0.0006,0.0063,0.0015,0.0487,16465.7676,1557,460.5032,349.6068,452.0775,317.4405
MIP_4H,161,0.3844,60.2905,28.5577,3.9599,0.2286,0.5816,5.6346,2.0534,0.0021,0.0005,0.0057,0.0015,0.0445,16586.3516,1544,459.7766,351.4588,449.823,320.4796
MIP_4H,161.5,0.3863,59.8043,25.5195,3.9599,0.2296,0.5525,5.6378,2.0503,0.0011,100000,0.0047,0.0015,0.0398,16721.2129,1565,458.4738,351.3247,449.3533,320.6558
MIP_4H,162,0.3905,60.8636,25.9625,3.9599,0.2268,0.526,5.6209,2.0435,0.0008,100000,0.0036,0.0015,0.0499,16430.1875,1570,458.0015,350.309,449.6756,316.25
MIP_4H,162.5,0.3942,60.5133,26.791,3.9543,0.2252,0.4835,5.589,2.0375,100000,100000,0.003,0.0015,0.0466,16525.2832,1563,459.8202,349.0765,451.6967,317.2039
MIP_4H,163,0.3962,59.7935,27.2842,3.9588,0.2249,0.4812,5.5619,2.0341,0.0011,100000,0.0039,0.0015,0.0397,16724.2207,1545,460.2036,348.704,451.3462,317.4315
MIP_4H,163.5,0.3961,52.8891,25.2906,3.9656,0.2266,0.492,5.5585,2.0343,0.0009,100000,0.0023,0.0015,-0.0368,18907.502,1554,459.927,350.3896,450.3711,319.5724
MIP_4H,164,0.3947,59.9881,25.0804,3.9543,0.2296,0.5131,5.5741,2.0367,0.0005,100000,0.0026,0.0015,0.0416,16669.9609,1549,459.4124,350.8921,449.6422,320.7018
MIP_4H,164.5,0.3956,60.2861,27.5663,3.9543,0.2322,0.5493,5.5982,2.0351,100000,100000,0.0005,0.0015,0.0444,16587.5723,1549,460.8989,349.9236,451.4969,316.728
MIP_4H,165,0.3949,60.1824,29.9724,3.9543,0.2362,0.5753,5.6115,2.0363,0.0003,100000,0.0017,0.0015,0.0434,16616.1563,1533,460.1133,349.2727,449.1694,316.7893
MIP_4H,165.5,0.3969,59.4891,33.7525,3.9543,0.2355,0.5942,5.603,2.0331,0.0018,0.0002,0.0051,0.0014,0.0367,16809.7988,1542,459.867,350.307,449.9808,319.1094
MIP_4H,166,0.3984,59.6757,37.3693,3.9599,0.2313,0.5868,5.5604,2.0307,0.0024,0.0004,0.0029,0.0014,0.0385,16757.2461,1549,459.9388,350.2111,451.0757,345.845
MIP_4H,166.5,0.4018,52.0655,37.8266,3.9599,0.2243,0.5716,5.5034,2.025,0,100000,0.001,0.0014,-0.0472,19206.5684,1561,460.1006,349.6534,451.0588,319.5282
MIP_4H,167,0.4072,52.8583,33.1548,3.9543,0.2198,0.5784,5.4769,2.0163,0,100000,0.002,0.0015,-0.0371,18918.4922,1557,458.9527,349.2248,449.6827,319.6057
MIP_4H,167.5,0.4105,52.9425,29.9901,3.9543,0.2206,0.5812,5.4885,2.0109,0.0029,0.0012,0.0047,0.0015,-0.0361,18888.4004,1563,458.5125,349.6769,449.4337,322.3808
MIP_4H,168,0.4134,59.0941,28.4709,3.9543,0.2253,0.6167,5.5364,2.0061,0.0006,100000,0.0042,0.0015,0.0327,16922.1719,1565,459.1606,349.1655,450.8149,322.4282
MIP_4H,168.5,0.4122,58.98,31.485,3.9543,0.2327,0.5841,5.5853,2.0081,0.0024,0.0006,0.0042,0.0015,0.0316,16954.8926,1560,460.1114,348.6422,452.923,350.5156
MIP_4H,169,0.4097,59.0013,28.6216,3.9599,0.2396,0.5514,5.627,2.0122,0.001,100000,0.0026,0.0015,0.0318,16948.7754,1567,459.9211,349.3073,451.063,350.8417
MIP_4H,169.5,0.4084,52.2823,29.9761,3.9618,0.2408,0.4887,5.6543,2.0144,0.0006,100000,0.0033,0.0015,-0.0444,19126.9453,1574,459.8441,349.9136,451.0234,350.9618
MIP_4H,170,0.41,53.1058,29.6747,3.9543,0.2359,0.5043,5.6584,2.0117,0.0004,100000,0.0019,0.0015,-0.0341,18830.3301,1592,459.6379,350.0945,450.8734,324.2472
MIP_4H,170.5,0.414,53.1996,32.3874,3.9599,0.2288,0.4963,5.6602,2.0052,0.0006,100000,0.0022,0.0015,-0.0329,18797.1387,1574,458.9767,349.764,450.9901,322.4237
MIP_4H,171,0.4182,53.6162,32.583,3.9543,0.2233,0.4864,5.6603,1.9984,0.0018,100000,0.0023,0.0015,-0.0278,18651.0938,1564,459.369,349.9326,450.5903,322.7599
MIP_4H,171.5,0.418,52.6073,37.2811,3.9656,0.2243,0.4643,5.6919,1.9986,0.0009,100000,0.0016,0.0015,-0.0403,19008.7715,1565,459.8193,349.2319,453.0013,323.1366
MIP_4H,172,0.416,52.6346,48.2207,3.9543,0.227,0.4788,5.7531,2.002,0.0017,100000,0.0025,0.0015,-0.04,18998.9277,1579,460.0474,349.2252,452.9871,351.2224
MIP_4H,172.5,0.4101,52.9782,61.753,3.9543,0.2298,0.4799,5.8151,2.0115,0.0016,100000,0.0021,0.0014,-0.0356,18875.6797,1540,460.4078,349.6068,453.7801,351.0847
MIP_4H,173,0.4044,53.127,59.6168,3.9543,0.2305,0.4707,5.8641,2.0209,0.0005,100000,0.0012,0.0015,-0.0338,18822.8242,1534,459.693,348.8513,452.2197,351.1276
MIP_4H,173.5,0.4011,59.4921,48.8279,3.9543,0.2276,0.4556,5.8878,2.0262,100000,100000,0.0011,0.0015,0.0367,16808.957,1550,460.5287,350.4205,453.3589,351.2021
MIP_4H,174,0.4015,53.0563,35.1,3.9543,0.2233,0.4557,5.8987,2.0255,0.0012,100000,0.002,0.0015,-0.0347,18847.9043,1558,460.6071,349.0812,452.7264,350.6674
MIP_4H,174.5,0.4042,52.5529,31.9353,3.9543,0.2203,0.4638,5.9017,2.0211,0.0009,100000,0.0023,0.0015,-0.041,19028.4395,1563,460.3899,350.0355,452.6172,351.1125
MIP_4H,175,0.4055,52.7518,28.3184,3.9543,0.2208,0.4443,5.9116,2.0191,0.0026,0.0006,0.0033,0.0015,-0.0385,18956.709,1549,458.4521,350.4098,455.3349,350.6887
MIP_4H,175.5,0.405,58.8878,28.0309,3.9599,0.2225,0.4291,5.9319,2.0198,0.0003,100000,0.0015,0.0015,0.0306,16981.4473,1565,468.2292,350.223,460.6631,351.6278
MIP_4H,176,0.4051,59.3477,28.0309,3.9543,0.2215,0.452,5.9505,2.0197,0.001,100000,0.0017,0.0015,0.0353,16849.8633,1577,465.927,348.8743,457.6952,327.112
MIP_4H,176.5,0.4007,61.1065,28.472,3.9543,0.2204,0.4759,5.9421,2.0269,0.0021,0,0.0026,0.0015,0.0522,16364.8818,1566,465.4245,357.4869,458.272,363.1358
MIP_4H,177,0.3867,63.7977,25.4674,3.9543,0.2254,0.4858,5.8889,2.0496,0.0008,100000,0.0017,0.0015,0.0764,15674.5352,1567,464.7808,355.9872,456.6695,357.6688
MIP_4H,177.5,0.3719,62.7283,21.6998,3.9599,0.2327,0.4558,5.8015,2.0737,0.0017,100000,0.0022,0.0015,0.067,15941.7676,1567,464.5356,355.6049,456.3461,358.0183
MIP_4H,178,0.3738,62.6113,20.3453,3.9656,0.2341,0.455,5.7096,2.0707,0.0004,100000,0.0014,0.0015,0.066,15971.5605,1560,465.9392,354.2319,459.1633,330.572
MIP_4H,178.5,0.3937,63.0488,22.5964,3.9543,0.228,0.46,5.6487,2.0383,100000,100000,0.0007,0.0015,0.0699,15860.7266,1558,466.9211,355.9177,461.0623,360.2869
MIP_4H,179,0.4159,59.36,27.2682,3.9599,0.2197,0.4673,5.615,2.0021,0.0011,100000,0.002,0.0015,0.0354,16846.3652,1540,465.4735,359.3895,458.6435,324.1792
MIP_4H,179.5,0.4259,60.3182,32.552,3.9543,0.2175,0.5062,5.5965,1.9858,0.0011,100000,0.0021,0.0015,0.0447,16578.752,1525,466.0043,351.8942,458.594,324.5488
MIP_4H,180,0.4268,61.3987,33.9083,3.9543,0.2193,0.5075,5.5955,1.9843,0.0004,100000,0.0014,0.0015,0.055,16287.001,1546,468.9336,350.0732,455.0569,322.2944
MIP_4H,180.5,0.4225,61.2323,31.3345,3.9543,0.2239,0.5268,5.6025,1.9913,0.0017,100000,0.0024,0.0015,0.0534,16331.2461,1536,461.1648,349.2857,449.4158,321.7064
MIP_4H,181,0.4179,60.8345,27.5669,3.9599,0.2272,0.5056,5.616,1.9989,0.0005,100000,0.0015,0.0015,0.0497,16438.0371,1564,459.0463,348.1368,450.6048,318.7866
MIP_4H,181.5,0.4115,60.9932,25.5266,3.9599,0.2306,0.5259,5.6442,2.0092,100000,100000,0.0008,0.0015,0.0512,16395.2617,1552,459.9545,348.9475,449.5576,320.4345
MIP_4H,182,0.4083,60.3179,23.7301,3.9543,0.2281,0.4932,5.6676,2.0145,0.0019,0,0.0027,0.0015,0.0447,16578.832,1570,460.0316,350.8282,449.6089,320.2115
MIP_4H,182.5,0.4064,61.325,22.2138,3.9599,0.2227,0.4896,5.6759,2.0176,0.0009,100000,0.0025,0.0015,0.0543,16306.5645,1551,460.5386,350.5097,449.8149,315.7682
MIP_4H,183,0.4075,61.2988,21.5415,3.9599,0.2173,0.4644,5.6702,2.0158,0.0004,100000,0.0015,0.0015,0.054,16313.5381,1579,460.6989,351.11,448.8306,316.8582
MIP_4H,183.5,0.4075,61.7747,25.0076,3.9543,0.2177,0.4877,5.6803,2.0158,0.0022,0.0002,0.002,0.0015,0.0584,16187.8535,1573,459.1509,351.5815,448.7029,315.475
MIP_4H,184,0.4046,61.6866,26.9265,3.9543,0.2238,0.5019,5.7163,2.0206,100000,100000,0.0004,0.0015,0.0576,16210.9824,1555,459.1144,350.6936,449.1823,315.1597
MIP_4H,184.5,0.4012,62.5346,27.5178,3.9543,0.2282,0.5194,5.7538,2.0261,0.0016,100000,0.0012,0.0015,0.0653,15991.1592,1579,459.95,350.3765,449.9315,315.2993
MIP_4H,185,0.3977,62.0683,29.5868,3.9543,0.2304,0.5102,5.7666,2.0318,0.0021,0.0001,0.0021,0.0015,0.0611,16111.2744,1573,458.4641,349.5966,450.4369,315.2646
MIP_4H,185.5,0.3977,61.7221,36.5175,3.9618,0.2296,0.4805,5.7545,2.0318,0.0009,100000,0.0005,0.0015,0.0579,16201.6523,1589,458.0712,348.9219,449.5966,315.6624
MIP_4H,186,0.4003,61.3907,49.8441,3.9543,0.2269,0.4724,5.7245,2.0276,0.0015,100000,0.0017,0.0015,0.0549,16289.0996,1558,459.4712,347.8362,453.0926,315.8167
MIP_4H,186.5,0.4049,53.0993,55.7373,3.9543,0.2227,0.4852,5.702,2.02,0.0016,100000,0.0017,0.0015,-0.0341,18832.625,1568,463.4405,347.2367,456.2151,314.628
MIP_4H,187,0.4076,52.6432,48.7943,3.9543,0.2207,0.5281,5.6947,2.0156,0.0016,100000,0.0019,0.0015,-0.0399,18995.8184,1551,463.6105,348.0648,454.6526,312.8115
MIP_4H,187.5,0.407,60.4402,39.096,3.9543,0.2215,0.5305,5.7104,2.0166,0.0007,100000,0.002,0.0015,0.0459,16545.2793,1557,462.6417,349.0599,453.13,314.3928
MIP_4H,188,0.4048,62.277,28.8732,3.9599,0.2223,0.5289,5.7261,2.0201,0.0011,100000,0.0008,0.0015,0.063,16057.2822,1549,461.7376,349.3172,453.4931,315.8167
MIP_4H,188.5,0.4021,61.6567,30.8943,3.9543,0.2217,0.4987,5.7362,2.0246,0.001,100000,0.002,0.0015,0.0573,16218.8418,1524,459.8023,348.6422,453.7809,348.605
MIP_4H,189,0.4001,61.5634,28.6215,3.9599,0.2224,0.562,5.7413,2.0278,0.0019,0.0007,0.0028,0.0014,0.0565,16243.4297,1538,459.3,348.0422,453.0607,350.241
MIP_4H,189.5,0.3973,61.0111,30.267,3.9543,0.2267,0.5733,5.7467,2.0323,0.001,100000,0.0029,0.0015,0.0513,16390.4727,1546,457.3468,347.0688,452.0135,351.4486
MIP_4H,190,0.3973,59.5247,27.1022,3.9543,0.2308,0.5519,5.7619,2.0323,0.0001,100000,0.0018,0.0014,0.037,16799.7441,1570,456.3343,346.5617,450.667,317.5248
MIP_4H,190.5,0.3971,58.2909,25.0046,3.9543,0.2313,0.4886,5.7587,2.0328,0.0006,100000,0.0015,0.0014,0.0246,17155.3301,1564,456.0307,345.3601,452.4965,317.7097
